ID,Condition,1. Mental Demand (0-100),2. Physical Demand (0-100),3. Temporal Demand (0-100),4. Effort (0-100),5. Frustration (0-100),6. Performance (0-100),7. Performance vs. Mental Demand,8. Mental Demand vs. Effort,9. Performance vs. Frustration,10. Temporal Demand vs. Frustration,11. Effort vs. Physical Demand,12. Frustration vs. Mental Demand,13. Performance vs. Temporal Demand,14. Physical Demand vs. Frustration,15. Temporal Demand vs. Mental Demand,16. Mental Demand vs. Physical Demand,17. Physical Demand vs. Performance,18. Frustration vs. Effort,19. Physical Demand vs. Temporal Demand,20. Temporal Demand vs. Effort,21. Effort vs. Performance
14,LowReferenceStiffness,69,55,77,74,90,31,Effort,Mental Demand,Effort,Temporal Demand,Performance,Performance,Effort,Effort,Effort,Effort,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
15,HighReferenceStiffness,83,64,31,90,89,35,Performance,Effort,Performance,Temporal Demand,Effort,Mental Demand,Performance,Performance,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
15,LowReferenceStiffness,36,48,23,65,33,49,Performance,Effort,Performance,Temporal Demand,Effort,Effort,Performance,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
16,HighReferenceStiffness,40,65,59,79,43,54,Effort,Effort,Performance,Temporal Demand,Performance,Effort,Effort,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
16,LowReferenceStiffness,23,58,64,59,24,60,Performance,Effort,Effort,Temporal Demand,Effort,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
17,HighReferenceStiffness,42,61,12,32,7,51,Effort,Mental Demand,Performance,Temporal Demand,Effort,Effort,Effort,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
17,LowReferenceStiffness,42,59,8,38,4,53,Effort,Effort,Performance,Temporal Demand,Effort,Effort,Effort,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
18,HighReferenceStiffness,39,57,9,47,12,72,Effort,Mental Demand,Performance,Temporal Demand,Effort,Effort,Effort,Effort,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
18,LowReferenceStiffness,58,80,2,47,30,54,Effort,Mental Demand,Performance,Temporal Demand,Effort,Effort,Effort,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
19,HighReferenceStiffness,35,71,4,66,8,84,Performance,Effort,Performance,Temporal Demand,Effort,Effort,Performance,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
19,LowReferenceStiffness,42,75,6,100,6,61,Performance,Effort,Performance,Temporal Demand,Effort,Mental Demand,Performance,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
20,HighReferenceStiffness,59,60,39,59,10,69,Effort,Effort,Performance,Effort,Effort,Effort,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
20,LowReferenceStiffness,71,70,75,73,61,61,Effort,Mental Demand,Performance,Effort,Effort,Effort,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
21,HighReferenceStiffness,58,90,75,61,50,60,Performance,Mental Demand,Effort,Effort,Performance,Mental Demand,Effort,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
21,LowReferenceStiffness,38,79,41,36,10,86,Performance,Effort,Performance,Effort,Effort,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
22,HighReferenceStiffness,60,81,21,72,53,71,Performance,Effort,Performance,Temporal Demand,Effort,Mental Demand,Performance,Performance,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
22,LowReferenceStiffness,67,70,64,74,66,40,Performance,Effort,Performance,Temporal Demand,Effort,Mental Demand,Performance,Performance,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
23,HighReferenceStiffness,76,95,66,47,49,45,Performance,Effort,Performance,Temporal Demand,Effort,Effort,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
23,LowReferenceStiffness,58,72,48,76,27,67,Performance,Effort,Performance,Temporal Demand,Effort,Effort,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
24,HighReferenceStiffness,23,62,37,66,33,66,Performance,Mental Demand,Performance,Effort,Effort,Effort,Performance,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
24,LowReferenceStiffness,28,36,22,74,33,76,Effort,Effort,Performance,Effort,Effort,Effort,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
